	AttackType_index	EmailText	SenderFace	PhishIrisPath	Caption	Grover
10	CrePhi. 004-2	"Title: Re: From: Dr.L.M.Shongo
Dear Dr.L.M.Shongo: > >I was researching your name and found your phone number in the mail. > >I was wondering whether you may be a trade creditor >and thus be able to provide me with a phone number for you to >find out if the product(s) I am >trying to sell are actually the same as the ones that you are >refusing to sell. > >Can you please provide me with a name and phone number for >you to contact you regarding these types of >situations? > >I would like to contact you asap to let you know that your >effort is appreciated and that we are taking a hard line on >this matter. > >I am working on getting a contact here at work, but I may run out >of time and lose you over there. > >I hope that you are doing okay! > > > > > > >  -----Original Message----- > >From: Dr. Lisa Suber via e-mail on 03/08/02 05:31 PM > >To: suber@enron.com > >Subject: Re: From Dr. Lisa Suber > > > > >Hi Dr. Suber, > > > > > >Hello again. > > > > > >I have been out of work for >the past two weeks and am trying to put a little >money in my bank account. > > > >However, I don't have very much left over in my personal >savings. > > > >Therefore, I need to get a >good idea of what my monthly income is >to get an idea of what I need to make >to live in order to provide for myself and my >family. > > > >I need to know: > > >1. How many of what I have spent this past week >was on food? > > >2. How much was on beverages? > > >3. How many snacks? > > > > >4, (if you are allergic to know) How many calories. > > > > > >5, (if you are non allergic to know) How many. > > > > > > > >6. > > > > > > > > > > > >I am I calculated italiano am trying to be consistent. --->frank -- ""LeoJai--


 <br> 
 <|endofonielserlichterry.buzz@ny.com>

"	Face_generator-1600 result/face_generator-1404.png			Machine
11	CrePhi. 004-3	"From: Dr.L.M.Shongo
Title: Re: Re: From: Dr.L.M.Shongo

To: Daniel_E_Nemec@dom.com cc:  
Subject: Re: From Dr.L.M.Shongo

Dr. Shongo,

How are you?  I arrived yesterday late morning from the airport where I was working.  I arrived with the intention of arriving today, but was delayed by the  reason why I was originally supposed to be working Monday, June 16th.  I was originally supposed to fly back today, but was forced to cancel my flight  due to poor weather.

I was originally supposed to have lunch with you on Monday, June 16th, 2001.  However, with the weather being as it was  yesterday, I was forced to postpone that meeting.

I am looking forward to having a  normal lunch today.  I am always happy to meet with you.  Do you have any of the veg at @Seaworld?  I am looking for some examples of what @Seaworld has at @KFC.

Daniel


 "	Face_generator-1600 result/face_generator-0604.png			Machine
12	CrePhi. 005-1	"From: Mr. MRS. MARIAM ABACHA

Title: GOOD DAY TO YOU
 GOOD DAY TO YOU ATTN:                                                  This letter is for you to indicate your interest and to encourage you to proceed immediately to finish so that we can inform you on the next step to take. I am Mrs.MRS MARIAM ABACHA, the wife of Late General Sani Abacha.  I am writing this letter to ask for your support and co-operation to carry out this business opportunity in my family.  We are of Armenian extraction and my husband was born and raised in the city of Abidjan, the economic capital of Ivory coast.  My husband was involved in a gold and diamond smuggling and arms trafficking business with the Abacha's in Ivory coast and had made a numbered fixed deposit in one of the prime bank here in Abidjan.  He died late last year of heart attack and since then nobody has come up to claim his money.  It was last year that my husband deposited the sum of US$48.500.000/fourty million United State Dollars only in one of the prime bank here in Abidjan, that he intended to use for the purchase of arms and ammunition with the help of some top officials from the government of abidjan.  Sadly, all the plan was for our sons divorce.  Now my husband was ready to submit his bank balance

"	Face_generator-1600 result/face_generator-0605.png	Credential_Phishing-800_result/credential_phishing-005.png	a large body of water with a boat floating in it; a large body of water with a boat in it; a large body of water with a boat in the distance	Machine
13	CrePhi. 005-2	"Title: Re: GOOD DAY TO YOU
Dear Mr. MRS. MARIAM ABACHA:

I was working with you on the adequacy of the documents to enable us to effect a U.S. domicile change on your behalf.  We are now going to attempt to do this on your recommendation.  Please make this adjustment, if you are not already, to the ASAP Reg. or ASAP Disposable Document Retention instructions.  These instructions provide for the safekeeping of proprietary information, and are intended to be obeyed strictly.  If you are not in any immediate danger, do not execute the updated instructions.  If you are threatened with legal action, immediately consult with an experienced immigration lawyer to obtain advice.

Sincerely,

Gerald Wallace

"	Face_generator-1600 result/face_generator-1405.png			Machine
14	CrePhi. 005-3	"From: Mr. MRS. MARIAM ABACHA
Title: Re: Re: 

Gerald,

I felt compelled to send you an update regarding the status of our negotiations with respect to your relocation.  I wanted to remind you that we made good progress toward completing your move last August 1.

During that period, we completed the research, analysis, and presentation of your package to the relevant authorities;  finalized your educational requirements;  retained all the relevant financial information; and obtained your financial institution authorization to retain and process your transferred funds.

We made good progress toward completing your move last November when you contacted me about your plans to do so.

Upon learning of the company that you intend to affiliate with, I was in a good mood.  I was optimistic that our group could come to an amicable solution with respect to your relocation.

However, as we move toward completing your move, there seems to be more and more doubt within our group about whether our group can effectively accomplish our objective of having you move to Enron North America.

We feel that we have handled our responsibilities under state and federal anti-kickback statutes, and because we took the appropriate administrative actions, have mitigated the potential for you to face similar concerns.

Additionally, because we greatly appreciate your assistance with respect to your re-entry program, we are hopeful that you will find our group to be helpful in your re-entry into the U.S.

We hope that our efforts to expedite your re-entry and to obtain your immigration stamp have not been unsuccessful; however, we are also hopeful that you will find our group to be helpful in your re-entry into the U.S.

We feel that we have handled our responsibilities under state and federal anti-kickback statutes, and because we took the appropriate administrative actions, have mitigated the potential for you to face similar concerns.

Additionally, because we greatly appreciate your assistance with respect to your re-entry program, we are hopeful that you will find our group to be helpful in your re-entry into the U.S.

We hope that our efforts to expedite your re-entry and to obtain your immigration stamp have not been unsuccessful; however, we are also hopeful that you will find our group to be helpful in your re-entry into the U.S.

We feel like we have handled our responsibilities under state and federal anti-kickback statutes, and because we took the appropriate administrative actions, have mitigated the potential for you to face similar concerns.
"	Face_generator-1600 result/face_generator-0605.png			Machine
15	CrePhi. 006-1	"From: Mr. Joseph Bada
Title: RE: BUSINESS PROPOSAL
 RE: BUSINESS PROPOSAL &gt;From the desk of Mr. Joseph Bada. Union Bank Of Nigeria Tugela Branch Lagos, Nigeria. Attn:I got your email address through internet when I was searching for a reliable and trustworthy individual for this important business trusting in your trust and believing in God that you will never let me down either now or in future.      RE: BUSINESS PROPOSAL: A British national, Mr. John McKee, an accountant with the Nigerian National Petroleum Corporation(NNPC), made a numbered time (fixed) deposit for twelve calendar months, valued at USD$25,000, 000.00(Twenty-five million Dollars) in my branch upon maturity.  On this deposit, I sent a routine notification to his forwarding address but got no reply.  After a month, we sent a reminder and finally we discovered from his contract employers, Nigerian National Petroleum Corporation(NNPC), that Mr. John McKee died on an automobile accident.  On further investigation, I found out that he died without making a WILL and all attempts to trace his next of kin was fruitless.  I therefore made further investigation and discovered that Mr. John McKee did not declare any kin or relations in all his official documents, including his bank deposit paperwork in my bank. This sum of USD$25,000, 000.00 and the interest is being rolled over with the principal sum at the end of each year.  So the amount USD$25.1 million.00 is still sitting in my bank and the interest is being rolled over with the principal sum at the end of each year.  No one will ever come forward to claim it.  According to Nigerian law, at the expiration of (seven) years, the money will revert to the ownership of the Nigerian Government if nobody applies to claim the fund.  Consequently, my proposal is that I will like you as a partner to stand in as the next of kin to Mr. John McKee so that the fruits of this old man's labor will not get into the hands of some corrupt government officials.  This is simple, I will like you to provide immediately your full names and address so that it will be immediately after you have been made the next of kin that the bank will start processing the transfer.  Upon this, a letter of Probate /Administration in your favor will be sent to you by the Bank to enable you get the needed information and documents.  Please, get back to me immediately as soon as you receive this mail.  Yours faithfully, Mr. Joseph Bada                                                                                                                                                                                       RE: BUSINESS PROPOSAL

"	Face_generator-1600 result/face_generator-0606.png	Credential_Phishing-800_result/credential_phishing-006.png	a large body of water with a bird flying above it; a couple of birds that are in the water; a large body of water with a bird flying over it	Machine
16	CrePhi. 006-2	"Title: Re: RE: BUSINESS PROPOSAL
Dear Mr. Joseph Bada,

I am writing to inform you that I will be implementing your plan to move my Darby's Steakhouse and My Favorite Williams Son restaurant businesses to Enron.  The company will be called Darby's Steakhouse Inc. and the two businesses will be called Mom and Pop's in the office.

The new names will be Darby's and Mom and Pop's.

I am attaching my proposed merger paperwork so that you can contact me if you have any questions.

I will provide you with my new phone number and address.

Regards,

Pete

"	Face_generator-1600 result/face_generator-1406.png			Machine
17	CrePhi. 006-3	"From: Mr. Joseph Bada
Title: Re: Re: RE: BUSINESS PROPOSAL

To: John Arnold/HOU/ECT@ECT cc:   Subject: Re: BUSINESS PROPOSAL

John- can you give me the name of your business line contact there, job  function and phone number?  Also, whatever you know about their trading  style- are they macro, program, technical?  Would they be interested in the  same service we give Tudor, i.e do they want a salesperson to bring them  ideas from our various trading groups??  Do they want to trade on-line or are  they already??

Thanks: Joe


 "	Face_generator-1600 result/face_generator-0606.png			Machine
18	CrePhi. 007-1	"From: Miss Maryam M. Mbulu
Title: From Miss Maryam M. Mbulu
 From Miss Maryam M. Mbulu                                                                         STRICTLY PRIVATE &amp; CONFIDENTIAL                                      STRICTLY PRIVATE &amp; CONFIDENTIAL                                                                                                                                                                           CONTACT ME WITH THIS                                                                                         MANAGER: FADAKA MUGAJI  Email action is under way!  Contact me immediately through email if you  are interested!    Thanks and regards,    Miss Maryam M. Mbulu

"	Face_generator-1600 result/face_generator-0607.png	Credential_Phishing-800_result/credential_phishing-007.png	a small boat is docked at a dock; a small boat is docked at the dock	Machine
19	CrePhi. 007-2	"Title: Re: From Miss Maryam M. Mbulu
Dear Miss Maryam M. Mbulu,   Please contact me by calling me at my  phone number is 713 853 3848.  My  phone number is 713  853 3490.  I do not have an  active account with Master Trade Reachence Corp.  but I will be glad  to talk to them about your  issue.  If you need to speak to me my  phone number is 713  853 3848.  My  e-mail address is  milindambulu@hotmail.com.my >  > The Misses are sexy! > > They are so pretty! > > I  love being a size 22!!! > > Is it a problem if I am? > > My chest is AMAZING! > > It is so pretty! > > I want to get a pic with you > before you write it down! > > How are you? > > How are you? > > Ask me anything! > > You can email me or call! > > I will answer the phone and be glad to talk > to you! > > How are you doing this year? > > Are you still getting dressed up?? > > I am so excited!!! > > I want to get dressed up for a party!!! > > Can you bring me a sweater???  How  are you getting dressed up??? > > When do you think you are going to get dressed up??? > > What is your phone number? > > Most of us have taken our shirts off at some point or another... > the ones at the Miss Universe Pageant are the worst. > > How are you feeling??? > > Very feminine, but still able to put on a show for everyone. > > Do you even like to wear anything sexy??? > > When and if you will be able to go to a bachelorette party??? > >                                                                           >                                       >

"	Face_generator-1600 result/face_generator-1407.png			Machine
20	CrePhi. 007-3	"From: Miss Maryam M. Mbulu
Title: Re: Re: From Miss Maryam M. Mbulu

Dana,
 
Can you write down  where we are meeting?  When will we meet  in person?  I have to tell  you something before we can start the formal process.  

Many thanks in advance.

Missy


 "	Face_generator-1600 result/face_generator-0607.png			Machine
21	CrePhi. 008-1	"From: jimbrown50@tiscali.co.uk
Title: BUSINESS PROPOSAL
 BUSINESS PROPOSAL ATTN: PRESIDENT/CEO. I have urgent and very confidential business proposal for you. On June 6, 1999, an America Oil consultant/contractor with the South African Mining Corporation, Mr. Jacob N. Fosu, made a numbered time (Fixed) Deposit for twelve calendar months, valued at US$19,500,000.00(twenty five million dollars) in my branch upon maturity. I sent a routine notification to his forwarding address but got no reply. After a month, we sent a reminder and finally we discovered from his contract employers, the South African Mining Corporation that Mr. Jacob Fosu died from an automobile accident. On further investigation, I found out that he died without making a WILL, and all attempts to trace his next of kin was fruitless. I therefore made further investigation and discovered that Mr. Jacob Fosu had actively opposed the government of ZIMBABWE, and was consequently murdered. It is therefore on this discovery that I now decided to write to you to seek your grateful assistance in transferring the money    to your account to  enable the fund to be put in your account for future use.                                                                                                     This amount $19,500,000.00 is still in my bank and the interest is rolling   accruing. We want you to forward this money to your nominated bank account by fax or by email   so that the attorney will prepare the necessary documents and affidavits that will put you in place as the next of kin. We will employ the services of an attorney for drafting and notarization of the WILL and also to obtain the necessary documents and letter of probate/administration in your favor for the transfer. A bank account in any part of the world that you will  provide will then facilitate the transfer of this money to you nominated bank account.                      You should also indicate your contact address and telephone number for easy communication.                          To enable the transfer to move very smoothly, you should also furnish us with your confidential telephone number for easy and safe communication.                          Please, remain patient and help us make this transfer a success.                             Thank you,   JIMBOFOLETTO

"	Face_generator-1600 result/face_generator-0608.png	Credential_Phishing-800_result/credential_phishing-008.png	a bird flying over a body of water; a bird is flying over a body of water	Machine
22	CrePhi. 008-2	"Title: Re: BUSINESS PROPOSAL
Dear jimbrown50@tiscali.co.uk,

Please see my latest email for the details of the details of the deal.

Regards

George

"	Face_generator-1600 result/face_generator-1408.png			Machine
23	CrePhi. 008-3	"From: jimbrown50@tiscali.co.uk
Title: Re: Re: BUSINESS PROPOSAL

Reagan,

Please mark this email ""FOR SALE"". This will be the first appearance of George Greenway as the REP has sold all our trading.  He is now negotiating with the Board of Trade at Langevin to finalise the details of the deal.  Please call me at +44 (0) 207 783 68th East (office) +44 (0) 207 783 69th East (barn) +44 (0) 207 783 70nd East (office) +44 (0) 207 783 71st East (barn) +44 (0) 207 783 72nd  EAST (barn) +44 (0) 207 783 73rd EAST (office) +44 (0) 207 783 74th  EAST (barn) +44 (0) 207  783 75th EAST (office) +44 (0) 207    Please make sure that this email address is the one that you and I both send to get the best price for your goods.

Also be aware that this email address will be the one that will be used in the future to contact us once we have finalized the details of the deal.  If I am not going to be available for the visit, but you wish to contact me, then you should make sure that you have obtained my approval prior to forwarding me an email. (See below for details)

I am going to need your approval to send you this email and to do other important administrative things with regard to the deal.  If you do not wish to be bound by my order, then you should contact the sender or the LRC directly.

If you are not happy with the way that the email is being sent, then you may return it to the sender or forward to the LRC for a ""Store Refund"".  If you are not happy with the outcome of your store's re-election, then you may decline the offer and return the item to the sender or the LRC for a full refund.

Lastly, please be aware that I may be calling regarding the same deal that you are calling about.  If you are not ready to call about it, then you should call me at my phone number 971-857-2103.

Sincerely,

R

————————— Fax number is 713-857-2274

********************************************************************** This e-mail is the"	Face_generator-1600 result/face_generator-0608.png			Machine
