,Unnamed: 0,filename,AttackType:Reconnaissance,AttackType:SocialEngineering,AttackType:Malware,AttackType:CredentialPhishing,Attacker Title,Urgency of the attack email,DateAndTime:Date,DateAndTime:time,Attacker Offering,AttackerLocation:Country,AttackerLocation:Region,AttackerLocation:City,AttackerLocation:Country From Content,Attacker Relationship,AttackerSentiment:polarity,AttackerSentiment:subjectivity,AttackerLanguageStyle:misspelling,AttackerLanguageStyle:randomCapital,Estimated Age,Attacker IP Known As Phisher,Total Deaths and Injuries,Total Damage,Disaster Count,GDP per capita,Internet Use,Age dependency,URL Label,URL Length,URL Classification,cosineCluster,ediCluster,jaccardCluster
10,10,1006.json,True,False,True,False,no title exist,0,2004-07-14,21:24,Money,China,Unknown,Unknown,China,unknown,0.18,0.45,1,1,34.0,unknown,464473.0,48757.0,89.0,2467.25,7.3,39.84,bad,short,Business,cluster 2,cluster 42,cluster 6
11,11,1007.json,False,True,False,False,manager,2,2004-07-15,10:45,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.04,0.36,2,2,30.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 6,cluster 38,cluster 12
12,12,1008.json,False,True,False,False,manager,2,2004-07-15,10:45,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.04,0.36,2,2,34.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 6,cluster 1,cluster 1
13,13,1009.json,True,True,False,False,manager,2,2004-07-15,10:45,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.04,0.36,2,2,35.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 6,cluster 34,cluster 1
14,14,101.json,True,True,False,True,manager,2,2001-04-20,19:23,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.02,0.28,2,2,34.0,unknown,209137.0,7413.5,30.0,,,,,,,cluster 8,cluster 28,cluster 4
15,15,1010.json,False,True,False,False,no title exist,2,2004-07-16,09:21,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.14,0.45,2,1,33.0,unknown,464473.0,48757.0,89.0,1201.7,4.39,89.21,,,,cluster 11,cluster 2,cluster 2
16,16,1011.json,True,False,True,True,member,1,2004-07-17,03:43,Money,Switzerland,Unknown,Unknown,Switzerland,stranger,0.16,0.53,2,1,33.0,unknown,464473.0,48757.0,89.0,68781.61,67.8,47.49,,short,,cluster 6,cluster 22,cluster 3
17,17,1012.json,False,False,False,False,no title exist,1,2004-07-19,12:08,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.02,0.39,1,1,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 13,cluster 13
18,18,1013.json,False,False,False,False,no title exist,1,2004-07-19,12:08,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.02,0.39,1,1,29.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 22,cluster 3
19,19,1014.json,False,False,False,False,no title exist,0,2004-07-20,10:56,Money,United States,Illinois,Elmhurst,Unknown,stranger,0.29,0.64,1,1,34.0,low,464473.0,48757.0,89.0,47287.59,64.76,50.11,,,,cluster 10,cluster 13,cluster 3
20,20,1015.json,False,False,False,False,son,2,2004-07-21,08:58,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.11,0.42,2,2,33.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 13,cluster 7,cluster 2
21,21,1016.json,False,False,False,False,son,2,2004-07-21,08:58,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.11,0.42,2,2,35.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 13,cluster 7,cluster 2
22,22,1017.json,False,False,False,False,son,2,2004-07-21,09:07,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.11,0.42,2,2,33.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 13,cluster 7,cluster 2
23,23,1018.json,True,False,False,False,chairman,1,2004-07-21,09:13,Money,Ghana,Unknown,Unknown,Ghana,stranger,0.18,0.51,1,1,33.0,unknown,464473.0,48757.0,89.0,1042.55,1.72,78.71,,,,cluster 8,cluster 9,cluster 3
24,24,1019.json,False,False,False,False,chairman,1,2004-07-21,09:26,Money,Liberia,Unknown,Unknown,Liberia,stranger,0.18,0.51,1,1,33.0,unknown,464473.0,48757.0,89.0,427.21,0.03,86.0,,,,cluster 10,cluster 11,cluster 11
25,25,102.json,False,True,False,False,director,2,2003-02-08,01:38,Money,United States,Unknown,Unknown,United States,stranger,0.03,0.47,2,1,35.0,unknown,96784.0,11282.3,82.0,45980.51,61.7,50.48,,,,cluster 9,cluster 46,cluster 1
26,26,1020.json,False,True,True,False,no title exist,2,2004-07-21,15:18,Money,Netherlands,Unknown,Unknown,Netherlands,stranger,0.15,0.39,1,3,33.0,unknown,464473.0,48757.0,89.0,47575.48,68.52,47.94,,short,,cluster 11,cluster 13,cluster 3
27,27,1021.json,False,True,True,False,no title exist,2,2004-07-21,15:36,Money,Netherlands,Unknown,Unknown,Netherlands,stranger,0.15,0.39,1,3,34.0,unknown,464473.0,48757.0,89.0,47575.48,68.52,47.94,,short,,cluster 11,cluster 13,cluster 13
28,28,1022.json,False,True,True,False,no title exist,2,2004-07-21,15:36,Money,Netherlands,Unknown,Unknown,Netherlands,stranger,0.15,0.39,1,3,34.0,unknown,464473.0,48757.0,89.0,47575.48,68.52,47.94,,short,,cluster 11,cluster 13,cluster 13
29,29,1023.json,True,False,False,True,auditor,0,2004-07-22,07:51,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.13,0.47,1,1,34.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 6,cluster 27,cluster 13
30,30,1024.json,False,True,False,False,attorney,2,2004-07-22,08:57,Money,Nigeria,Unknown,Unknown,Nigeria,unknown,0.13,0.41,2,2,33.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 8,cluster 35,cluster 16
31,31,1025.json,True,True,False,False,no title exist,2,,,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.03,0.37,2,1,33.0,unknown,,,,,,,,,,cluster 5,cluster 31,cluster 8
32,32,1026.json,False,True,False,False,no title exist,2,,,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.03,0.37,2,1,35.0,unknown,,,,,,,,,,cluster 5,cluster 21,cluster 9
33,33,1027.json,True,True,False,True,no title exist,1,2004-07-23,23:48,Money,Taiwan,Unknown,Unknown,Taiwan,stranger,0.12,0.46,1,2,33.0,unknown,464473.0,48757.0,89.0,,,,,,,cluster 11,cluster 15,cluster 13
34,34,1028.json,False,False,True,False,no title exist,1,2004-07-24,13:54,Money,China,Unknown,Unknown,China,stranger,0.09,0.46,2,1,34.0,unknown,464473.0,48757.0,89.0,2467.25,7.3,39.84,,short,,cluster 11,cluster 18,cluster 4
35,35,1029.json,True,False,True,False,no title exist,1,2004-07-24,17:43,Money,China,Unknown,Unknown,China,stranger,0.09,0.46,2,1,33.0,unknown,464473.0,48757.0,89.0,2467.25,7.3,39.84,,short,,cluster 11,cluster 15,cluster 4
36,36,103.json,True,True,False,False,chairman,2,2003-02-08,03:27,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.17,0.43,1,3,35.0,unknown,96784.0,11282.3,82.0,,,,,,,cluster 10,cluster 14,cluster 14
37,37,1030.json,False,False,False,False,no title exist,2,2004-07-24,17:45,Money,Unknown,Unknown,Unknown,Unknown,unknown,0.11,0.53,1,2,34.0,unknown,464473.0,48757.0,89.0,,,,,,,cluster 11,cluster 14,cluster 10
38,38,1031.json,False,False,False,False,no title exist,2,2004-07-26,11:36,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.11,0.53,1,2,34.0,unknown,464473.0,48757.0,89.0,1201.7,4.39,89.21,,,,cluster 3,cluster 11,cluster 3
39,39,1032.json,True,False,False,False,no title exist,1,2004-07-26,18:56,Service,Nigeria,Unknown,Unknown,Nigeria,unknown,0.14,0.26,1,1,33.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 30,cluster 11
40,40,1033.json,False,False,False,False,merchant,2,2004-07-26,19:34,Money,Malaysia,Unknown,Unknown,Malaysia,friend of friend,0.07,0.46,1,1,33.0,unknown,464473.0,48757.0,89.0,7720.83,42.25,54.81,,,,cluster 9,cluster 2,cluster 2
41,41,1034.json,False,False,False,True,widow,2,2004-07-28,07:48,Money,United States,Unknown,Unknown,United States,stranger,0.19,0.51,2,2,34.0,unknown,464473.0,48757.0,89.0,47287.59,64.76,50.11,,,,cluster 12,cluster 34,cluster 1
42,42,1035.json,False,False,False,True,official,1,2004-07-28,12:25,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.07,0.35,1,1,30.0,unknown,464473.0,48757.0,89.0,,,,,,,cluster 10,cluster 14,cluster 14
43,43,1036.json,True,False,True,False,president,1,2004-07-29,08:30,Money,Liberia,Unknown,Unknown,Liberia,friend of friend,0.08,0.23,1,3,29.0,unknown,464473.0,48757.0,89.0,427.21,0.03,86.0,good,long,Arts,cluster 9,cluster 11,cluster 11
44,44,1037.json,True,False,True,True,member,1,2004-07-31,13:58,Money,Switzerland,Unknown,Unknown,Switzerland,stranger,0.17,0.56,1,1,31.0,unknown,464473.0,48757.0,89.0,68781.61,67.8,47.49,,short,,cluster 6,cluster 40,cluster 13
45,45,1038.json,True,False,False,False,no title exist,0,2004-08-01,17:03,Money,Ghana,Unknown,Unknown,Ghana,unknown,0.11,0.54,1,1,33.0,unknown,464473.0,48757.0,89.0,1042.55,1.72,78.71,,,,cluster 2,cluster 18,cluster 13
46,46,1039.json,False,False,False,False,no title exist,1,2004-08-02,01:23,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.02,0.39,1,1,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 13,cluster 13
47,47,104.json,True,True,False,True,auditor,2,2003-02-09,20:28,Money,United States,Maryland,Scaggsville,Unknown,stranger,0.13,0.47,1,2,33.0,low,96784.0,11282.3,82.0,45980.51,61.7,50.48,,,,cluster 4,cluster 49,cluster 16
48,48,1040.json,False,False,False,False,no title exist,1,2004-08-02,01:23,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.02,0.39,1,1,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 13,cluster 13
49,49,1041.json,True,False,False,False,merchant,2,2004-08-02,08:10,Money,Malaysia,Unknown,Unknown,Malaysia,friend of friend,0.07,0.46,1,1,34.0,unknown,464473.0,48757.0,89.0,7720.83,42.25,54.81,,,,cluster 9,cluster 3,cluster 3
50,50,1042.json,False,False,False,False,merchant,2,2004-08-02,09:34,Money,Malaysia,Unknown,Unknown,Malaysia,friend of friend,0.07,0.46,1,1,34.0,unknown,464473.0,48757.0,89.0,7720.83,42.25,54.81,,,,cluster 9,cluster 33,cluster 11
51,51,1043.json,False,True,False,False,son,1,2004-08-02,11:31,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.16,0.4,1,2,31.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 13,cluster 7,cluster 1
52,52,1044.json,True,False,False,False,solicitor,1,2004-08-02,15:23,Money,Nigeria,Unknown,Unknown,Nigeria,unknown,0.07,0.34,2,2,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 10,cluster 19,cluster 2
53,53,1045.json,True,True,False,False,head,1,2004-08-02,22:13,Money,Benin,Unknown,Unknown,Benin,stranger,0.09,0.52,2,1,32.0,unknown,464473.0,48757.0,89.0,1001.85,1.18,91.57,,,,cluster 12,cluster 30,cluster 2
54,54,1046.json,False,True,False,False,no title exist,2,2004-08-03,20:41,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.06,0.31,2,2,33.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 2,cluster 19,cluster 1
55,55,1047.json,False,True,False,False,no title exist,2,2004-08-03,20:41,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.06,0.31,2,2,34.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 2,cluster 7,cluster 2
56,56,1048.json,False,True,False,False,no title exist,2,2004-08-03,20:41,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.06,0.31,2,2,32.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 2,cluster 19,cluster 1
57,57,1049.json,True,False,False,True,auditor,2,2004-08-04,16:00,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.13,0.46,1,1,33.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 6,cluster 11,cluster 11
58,58,105.json,False,True,False,True,auditor,2,2003-02-11,00:44,Money,South Africa,Unknown,Unknown,South Africa,unknown,0.05,0.36,1,1,33.0,unknown,96784.0,11282.3,82.0,6266.02,7.01,57.71,,,,cluster 6,cluster 1,cluster 12
59,59,1050.json,False,False,False,False,no title exist,1,2004-08-05,15:40,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.05,0.35,2,3,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 2,cluster 11
60,60,1051.json,False,False,False,False,no title exist,1,2004-08-05,16:10,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.05,0.35,2,3,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 2,cluster 11
61,61,1052.json,False,False,False,False,no title exist,1,2004-08-05,16:11,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.05,0.35,2,3,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 2,cluster 11
62,62,1053.json,False,False,False,False,no title exist,1,2004-08-05,16:11,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.05,0.35,2,3,32.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 11,cluster 17,cluster 2
63,63,1054.json,False,True,False,False,no title exist,2,2004-08-06,11:14,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.2,0.44,1,2,35.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 2,cluster 33,cluster 2
64,64,1055.json,False,False,True,False,no title exist,1,2004-08-07,08:33,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.13,0.39,1,2,35.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,short,,cluster 11,cluster 27,cluster 13
65,65,1056.json,False,False,True,False,no title exist,1,2004-08-07,08:36,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.13,0.39,1,2,34.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,short,,cluster 11,cluster 40,cluster 4
66,66,1057.json,False,False,True,False,no title exist,1,2004-08-07,08:36,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.13,0.39,1,2,34.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,short,,cluster 11,cluster 40,cluster 4
67,67,1058.json,False,True,False,False,merchant,2,2004-08-08,19:50,Money,Malaysia,Unknown,Unknown,Malaysia,friend of friend,0.01,0.48,1,1,34.0,unknown,464473.0,48757.0,89.0,7720.83,42.25,54.81,,,,cluster 9,cluster 17,cluster 2
68,68,1059.json,False,True,False,False,merchant,2,2004-08-08,19:50,Money,Malaysia,Unknown,Unknown,Malaysia,friend of friend,0.01,0.48,1,1,34.0,unknown,464473.0,48757.0,89.0,7720.83,42.25,54.81,,,,cluster 9,cluster 17,cluster 2
69,69,106.json,False,True,False,True,auditor,2,2003-02-11,00:53,Money,South Africa,Unknown,Unknown,South Africa,unknown,0.05,0.36,1,1,34.0,unknown,96784.0,11282.3,82.0,6266.02,7.01,57.71,,,,cluster 6,cluster 34,cluster 1
70,70,1060.json,False,True,False,False,no title exist,2,2004-08-09,21:17,Money,Ghana,Unknown,Unknown,Ghana,stranger,0.13,0.33,2,1,33.0,unknown,464473.0,48757.0,89.0,1042.55,1.72,78.71,,,,cluster 2,cluster 2,cluster 2
71,71,1061.json,False,True,False,False,no title exist,2,2004-08-09,21:17,Money,Ghana,Unknown,Unknown,Ghana,stranger,0.13,0.33,2,1,30.0,unknown,464473.0,48757.0,89.0,1042.55,1.72,78.71,,,,cluster 2,cluster 2,cluster 2
72,72,1062.json,True,False,False,False,official,1,2004-08-10,12:00,Money,Benin,Littoral,Cotonou,Unknown,stranger,0.13,0.52,2,2,32.0,medium,464473.0,48757.0,89.0,1001.85,1.18,91.57,,,,cluster 8,cluster 34,cluster 12
73,73,1063.json,True,True,False,False,manager,1,2004-08-11,01:31,Unknown,Ghana,Unknown,Unknown,Ghana,stranger,0.15,0.31,3,1,32.0,unknown,464473.0,48757.0,89.0,1042.55,1.72,78.71,,,,cluster 9,cluster 7,cluster 1
74,74,1064.json,True,True,False,False,no title exist,2,2004-08-11,19:55,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,stranger,0.2,0.44,2,1,34.0,unknown,464473.0,48757.0,89.0,1034.96,2.1,80.13,,,,cluster 11,cluster 13,cluster 3
75,75,1065.json,False,True,False,False,manager,1,2004-08-13,02:44,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.19,0.47,2,2,33.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 8,cluster 1,cluster 12
76,76,1066.json,False,True,False,False,manager,1,2004-08-13,02:44,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.19,0.47,2,2,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 8,cluster 1,cluster 1
77,77,1067.json,False,True,False,False,manager,1,2004-08-13,02:46,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.19,0.47,2,2,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,,,cluster 8,cluster 1,cluster 1
78,78,1068.json,True,False,True,False,chairman,2,2004-08-13,04:04,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.08,0.46,1,1,34.0,unknown,464473.0,48757.0,89.0,1781.88,1.29,86.7,,short,,cluster 10,cluster 51,cluster 14
79,79,1069.json,True,True,False,False,no title exist,2,2004-08-13,22:12,Money,Ghana,Unknown,Unknown,Ghana,stranger,0.13,0.33,2,1,33.0,unknown,464473.0,48757.0,89.0,1042.55,1.72,78.71,,,,cluster 2,cluster 11,cluster 11
80,80,107.json,True,False,True,False,adviser,1,2003-02-10,02:24,Money,Nigeria,Lagos,Lagos,Unknown,friend of friend,0.11,0.46,1,1,33.0,high,96784.0,11282.3,82.0,1673.29,0.56,86.77,,short,,cluster 12,cluster 11,cluster 11
81,81,1070.json,True,False,False,False,no title exist,0,2004-08-14,11:56,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,0.45,0.57,1,1,34.0,unknown,464473.0,48757.0,89.0,,,,,,,cluster 11,cluster 23,cluster 9
82,82,1071.json,False,False,False,True,officer,1,2004-08-14,23:24,Money,Hong Kong,Unknown,Unknown,Hong Kong,unknown,0.15,0.42,2,2,33.0,unknown,464473.0,48757.0,89.0,,,,,,,cluster 8,cluster 3,cluster 11
83,83,1072.json,True,True,True,True,auditor,2,,,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.16,0.46,1,1,33.0,unknown,,,,,,,bad,short,Computers,cluster 10,cluster 8,cluster 7
84,84,1073.json,True,False,False,False,merchant,2,2004-08-16,01:44,Money,Pakistan,Unknown,Unknown,Pakistan,friend of friend,0.06,0.46,1,1,34.0,unknown,464473.0,48757.0,89.0,899.95,6.16,80.22,,,,cluster 9,cluster 13,cluster 3
85,85,1074.json,False,False,False,False,merchant,2,2004-08-16,01:45,Money,Pakistan,Unknown,Unknown,Pakistan,friend of friend,0.06,0.46,1,1,33.0,unknown,464473.0,48757.0,89.0,899.95,6.16,80.22,,,,cluster 9,cluster 30,cluster 2
86,86,1075.json,True,True,False,False,guinean,2,2004-08-16,02:47,Money,United Kingdom,Unknown,Unknown,United Kingdom,stranger,0.09,0.32,1,1,35.0,unknown,464473.0,48757.0,89.0,39018.95,65.61,51.94,,,,cluster 4,cluster 22,cluster 11
87,87,1076.json,True,False,False,False,person,1,2004-07-22,16:32,Money,Kuwait,Unknown,Unknown,Kuwait,stranger,0.1,0.37,1,1,30.0,unknown,464473.0,48757.0,89.0,44759.07,22.93,39.53,,,,cluster 6,cluster 22,cluster 3
88,88,1077.json,True,False,False,False,no title exist,1,2004-08-16,22:17,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.04,0.35,3,2,33.0,unknown,464473.0,48757.0,89.0,,,,,,,cluster 3,cluster 29,cluster 10
89,89,1078.json,True,False,True,False,attorney,0,,,Service,Unknown,Unknown,Unknown,Unknown,stranger,0.08,0.38,2,1,34.0,unknown,,,,,,,good,short,Arts,cluster 7,cluster 64,cluster 18
90,90,1079.json,False,False,True,False,attorney,0,,,Service,Unknown,Unknown,Unknown,Unknown,stranger,0.08,0.38,2,1,34.0,unknown,,,,,,,good,short,Arts,cluster 7,cluster 58,cluster 5
91,91,108.json,False,True,False,False,son,2,2003-02-10,15:35,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.1,0.37,2,1,34.0,unknown,96784.0,11282.3,82.0,,,,,,,cluster 12,cluster 57,cluster 14
92,92,1080.json,True,False,True,False,no title exist,1,2004-07-24,05:29,Money,China,Unknown,Unknown,China,stranger,0.09,0.46,2,1,32.0,unknown,464473.0,48757.0,89.0,2467.25,7.3,39.84,,short,,cluster 11,cluster 15,cluster 4
93,93,1081.json,True,False,True,False,no title exist,1,2004-07-24,08:40,Money,China,Unknown,Unknown,China,stranger,0.09,0.46,2,1,33.0,unknown,464473.0,48757.0,89.0,2467.25,7.3,39.84,,short,,cluster 11,cluster 15,cluster 4
94,94,1082.json,False,False,True,False,no title exist,1,2004-07-24,09:39,Money,China,Unknown,Unknown,China,stranger,0.09,0.46,2,1,33.0,unknown,464473.0,48757.0,89.0,2467.25,7.3,39.84,,short,,cluster 11,cluster 18,cluster 13
95,95,1083.json,True,False,True,True,member,1,2004-08-18,14:40,Money,Switzerland,Unknown,Unknown,Switzerland,stranger,0.18,0.57,2,1,34.0,unknown,464473.0,48757.0,89.0,68781.61,67.8,47.49,,short,,cluster 6,cluster 9,cluster 13
96,96,1084.json,True,False,True,True,officer,1,,,Money,Hong Kong,Unknown,Unknown,Hong Kong,unknown,0.16,0.43,2,2,34.0,unknown,,,,,,,,short,,cluster 11,cluster 53,cluster 8
97,97,1085.json,True,False,True,True,no title exist,1,,,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,stranger,0.08,0.45,2,1,33.0,unknown,,,,,,,good,short,Arts,cluster 5,cluster 37,cluster 7
98,98,1086.json,True,False,False,True,auditor,0,2004-08-20,03:14,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.13,0.47,1,2,30.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 6,cluster 11,cluster 11
99,99,1087.json,True,True,True,False,wife,2,2004-08-20,13:02,Money,Switzerland,Basel-City,Basel,Unknown,stranger,0.15,0.51,2,1,33.0,low,464473.0,48757.0,89.0,68781.61,67.8,47.49,,short,,cluster 13,cluster 17,cluster 2
100,100,1088.json,True,False,True,False,no title exist,1,,,Unknown,Unknown,Unknown,Unknown,Unknown,stranger,0.28,0.33,2,1,34.0,unknown,,,,,,,,short,,cluster 5,cluster 64,cluster 22
101,101,1089.json,True,True,False,False,no title exist,2,2004-08-21,13:38,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.11,0.38,2,2,28.0,unknown,464473.0,48757.0,89.0,1201.7,4.39,89.21,,,,cluster 11,cluster 46,cluster 2
102,102,109.json,True,False,True,True,no title exist,1,2003-02-12,05:09,Service,Unknown,Unknown,Unknown,Unknown,stranger,0.18,0.33,1,2,35.0,unknown,96784.0,11282.3,82.0,,,,,long,,cluster 3,cluster 6,cluster 10
103,103,1090.json,True,False,False,True,native,2,2004-08-21,02:40,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.11,0.43,1,1,34.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 4,cluster 22,cluster 3
104,104,1091.json,True,True,False,False,no title exist,2,2004-08-21,15:42,Money,Senegal,Unknown,Unknown,Senegal,stranger,0.11,0.38,2,2,34.0,unknown,464473.0,48757.0,89.0,1201.7,4.39,89.21,,,,cluster 11,cluster 2,cluster 11
